,seed,sample,scale,j,c,ARS,Nfac,Bias,BiasARS,Nfac,Bias,BiasARS,Nfac,Bias,BiasARS,Nfac,Bias,BiasARS
85,200886, 250.000,balanced,12.000,5.000,0.300,1.000,-0.005,0.012 (100%),2.000,-0.007,-0.004 (100%),1.000,-0.111,-0.08 (100%),2.000,-0.093,-0.079 (100%)
91,200892, 250.000,balanced,24.000,5.000,0.300,1.000,-0.005,-0.005 (100%),2.000, 0.013,0.016 (100%),1.000,-0.082,-0.072 (100%),2.000,-0.098,-0.084 (100%)
86,200887,1000.000,balanced,12.000,5.000,0.300,1.000,-0.022,-0.005 (100%),2.000,-0.003,0 (100%),1.000,-0.104,-0.072 (100%),2.000,-0.090,-0.075 (100%)
92,200893,1000.000,balanced,24.000,5.000,0.300,1.000, 0.004,0.004 (100%),2.000, 0.001,0.004 (100%),1.000,-0.087,-0.075 (100%),2.000,-0.095,-0.08 (100%)
87,200888, 250.000,semi-balanced,12.000,5.000,0.300,1.000, 0.109,0.015 (100%),2.000, 0.072,0.005 (100%),1.000,-0.004,-0.094 (100%),2.000,-0.020,-0.079 (100%)
93,200894, 250.000,semi-balanced,24.000,5.000,0.300,1.000, 0.086,0.029 (100%),2.000, 0.067,-0.002 (100%),1.000,-0.019,-0.068 (100%),2.000,-0.019,-0.079 (100%)
88,200889,1000.000,semi-balanced,12.000,5.000,0.300,1.000, 0.096,-0.001 (100%),2.000, 0.067,0 (100%),1.000,-0.010,-0.095 (100%),2.000,-0.024,-0.081 (100%)
94,200895,1000.000,semi-balanced,24.000,5.000,0.300,1.000, 0.061,0.001 (100%),2.000, 0.072,0.002 (100%),1.000,-0.027,-0.077 (100%),2.000,-0.026,-0.085 (100%)
89,200890, 250.000,unbalanced,12.000,5.000,0.300,1.000, 0.194,0.161 (30%),2.000, 0.187,-0.098 (32.5%),1.000, 0.218,0.094 (20%),2.000, 0.204,0.264 (14.5%)
95,200896, 250.000,unbalanced,24.000,5.000,0.300,1.000, 0.178,-0.4 (23%),2.000, 0.188,-0.283 (24.5%),1.000, 0.191,-0.065 (27%),2.000, 0.205,0.207 (14.5%)
90,200891,1000.000,unbalanced,12.000,5.000,0.300,1.000, 0.179,-0.078 (20%),2.000, 0.192,0.24 (23.5%),1.000, 0.202,0.436 (20%),2.000, 0.194,0.705 (8%)
96,200897,1000.000,unbalanced,24.000,5.000,0.300,1.000, 0.191,-0.158 (24%),2.000, 0.187,0.066 (26.5%),1.000, 0.183,0.923 (26%),2.000, 0.201,-0.228 (2%)
97,200898, 250.000,balanced,12.000,5.000,0.600,1.000,-0.075,0.002 (100%),2.000,-0.007,0.006 (100%),1.000,-0.218,-0.064 (100%),2.000,-0.163,-0.077 (100%)
103,200904, 250.000,balanced,24.000,5.000,0.600,1.000, 0.002,0.003 (100%),2.000,-0.014,-0.001 (100%),1.000,-0.107,-0.06 (99%),2.000,-0.143,-0.068 (100%)
98,200899,1000.000,balanced,12.000,5.000,0.600,1.000,-0.089,-0.007 (100%),2.000,-0.014,0.001 (100%),1.000,-0.202,-0.053 (100%),2.000,-0.161,-0.075 (100%)
104,200905,1000.000,balanced,24.000,5.000,0.600,1.000,-0.013,-0.013 (100%),2.000,-0.013,0 (100%),1.000,-0.132,-0.084 (100%),2.000,-0.152,-0.077 (100%)
99,200900, 250.000,semi-balanced,12.000,5.000,0.600,1.000, 0.158,-0.005 (100%),2.000, 0.135,0.006 (100%),1.000,-0.018,-0.073 (100%),2.000,-0.027,-0.06 (100%)
105,200906, 250.000,semi-balanced,24.000,5.000,0.600,1.000, 0.122,0.013 (100%),2.000, 0.108,-0.016 (100%),1.000,-0.031,-0.068 (100%),2.000,-0.041,-0.078 (100%)
100,200901,1000.000,semi-balanced,12.000,5.000,0.600,1.000, 0.165,0.002 (100%),2.000, 0.134,0.004 (100%),1.000,-0.023,-0.078 (100%),2.000,-0.027,-0.06 (100%)
106,200907,1000.000,semi-balanced,24.000,5.000,0.600,1.000, 0.116,0.008 (100%),2.000, 0.132,0.005 (100%),1.000,-0.045,-0.084 (100%),2.000,-0.046,-0.079 (100%)
101,200902, 250.000,unbalanced,12.000,5.000,0.600,1.000, 0.339,0.108 (26%),2.000, 0.330,0.509 (25.5%),1.000, 0.366,0.116 (28%),2.000, 0.352,0.678 (8.5%)
107,200908, 250.000,unbalanced,24.000,5.000,0.600,1.000, 0.338,-0.072 (23%),2.000, 0.335,0.013 (14%),1.000, 0.338,0.526 (23%),2.000, 0.340,-0.064 (4%)
102,200903,1000.000,unbalanced,12.000,5.000,0.600,1.000, 0.344,0.139 (25%),2.000, 0.340,0.234 (16.5%),1.000, 0.361,0.658 (26%),2.000, 0.347,2.404 (1%)
108,200909,1000.000,unbalanced,24.000,5.000,0.600,1.000, 0.338,0.057 (20%),2.000, 0.344,-0.018 (11%),1.000, 0.354,0.835 (38%),2.000, 0.346,2.445 (1%)
