,seed,sample,scale,j,c,ARS,Nfac,Conv.Conf.ARS,Conv.Thr.ARS,Conv.Load.ARS,Conv.Int.ARS
49,200850, 250.000,balanced,12.000,5.000,0.300,2.000,1.000,1.000,1.000,1.000
55,200856, 250.000,balanced,24.000,5.000,0.300,2.000,1.000,1.000,1.000,1.000
50,200851,1000.000,balanced,12.000,5.000,0.300,2.000,1.000,1.000,1.000,1.000
56,200857,1000.000,balanced,24.000,5.000,0.300,2.000,1.000,1.000,1.000,1.000
51,200852, 250.000,semi-balanced,12.000,5.000,0.300,2.000,1.000,1.000,1.000,1.000
57,200858, 250.000,semi-balanced,24.000,5.000,0.300,2.000,1.000,1.000,1.000,1.000
52,200853,1000.000,semi-balanced,12.000,5.000,0.300,2.000,1.000,1.000,1.000,1.000
58,200859,1000.000,semi-balanced,24.000,5.000,0.300,2.000,1.000,1.000,1.000,1.000
53,200854, 250.000,unbalanced,12.000,5.000,0.300,2.000,0.430,0.760,0.970,0.960
59,200860, 250.000,unbalanced,24.000,5.000,0.300,2.000,0.350,0.620,0.890,0.940
54,200855,1000.000,unbalanced,12.000,5.000,0.300,2.000,0.430,0.790,1.000,0.990
60,200861,1000.000,unbalanced,24.000,5.000,0.300,2.000,0.400,0.870,0.930,0.950
61,200862, 250.000,balanced,12.000,5.000,0.600,2.000,1.000,1.000,1.000,1.000
67,200868, 250.000,balanced,24.000,5.000,0.600,2.000,1.000,1.000,1.000,1.000
62,200863,1000.000,balanced,12.000,5.000,0.600,2.000,1.000,1.000,1.000,1.000
68,200869,1000.000,balanced,24.000,5.000,0.600,2.000,1.000,1.000,1.000,1.000
63,200864, 250.000,semi-balanced,12.000,5.000,0.600,2.000,1.000,1.000,1.000,1.000
69,200870, 250.000,semi-balanced,24.000,5.000,0.600,2.000,1.000,1.000,1.000,1.000
64,200865,1000.000,semi-balanced,12.000,5.000,0.600,2.000,1.000,1.000,1.000,1.000
70,200871,1000.000,semi-balanced,24.000,5.000,0.600,2.000,1.000,1.000,1.000,1.000
65,200866, 250.000,unbalanced,12.000,5.000,0.600,2.000,0.290,0.730,0.860,0.920
71,200872, 250.000,unbalanced,24.000,5.000,0.600,2.000,0.170,0.560,0.860,0.830
66,200867,1000.000,unbalanced,12.000,5.000,0.600,2.000,0.250,0.780,0.920,0.930
72,200873,1000.000,unbalanced,24.000,5.000,0.600,2.000,0.120,0.750,0.850,0.890
