,seed,sample,scale,j,c,ARS,Nfac,Conv.Conf,Conv.Thr,Conv.Load,Conv.Int,Conv.Conf,Conv.Thr,Conv.Load
1,200802, 250.000,balanced,12.000,5.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
7,200808, 250.000,balanced,24.000,5.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
2,200803,1000.000,balanced,12.000,5.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
8,200809,1000.000,balanced,24.000,5.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
3,200804, 250.000,semi-balanced,12.000,5.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
9,200810, 250.000,semi-balanced,24.000,5.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
4,200805,1000.000,semi-balanced,12.000,5.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
10,200811,1000.000,semi-balanced,24.000,5.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
5,200806, 250.000,unbalanced,12.000,5.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
11,200812, 250.000,unbalanced,24.000,5.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
6,200807,1000.000,unbalanced,12.000,5.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
12,200813,1000.000,unbalanced,24.000,5.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
