,seed,sample,scale,j,c,ARS,Nfac,item_NoARS_Thr_chi,item_NoARS_Load_chi
1,200802, 250.000,balanced,12.000,5.000,0.000,1.000,0.055,0.055
7,200808, 250.000,balanced,24.000,5.000,0.000,1.000,0.050,0.049
2,200803,1000.000,balanced,12.000,5.000,0.000,1.000,0.051,0.048
8,200809,1000.000,balanced,24.000,5.000,0.000,1.000,0.047,0.042
3,200804, 250.000,semi-balanced,12.000,5.000,0.000,1.000,0.054,0.055
9,200810, 250.000,semi-balanced,24.000,5.000,0.000,1.000,0.045,0.042
4,200805,1000.000,semi-balanced,12.000,5.000,0.000,1.000,0.047,0.047
10,200811,1000.000,semi-balanced,24.000,5.000,0.000,1.000,0.053,0.053
5,200806, 250.000,unbalanced,12.000,5.000,0.000,1.000,0.066,0.070
11,200812, 250.000,unbalanced,24.000,5.000,0.000,1.000,0.045,0.045
6,200807,1000.000,unbalanced,12.000,5.000,0.000,1.000,0.047,0.041
12,200813,1000.000,unbalanced,24.000,5.000,0.000,1.000,0.046,0.046
37,200838, 250.000,balanced,12.000,5.000,0.000,2.000,0.062,0.002
43,200844, 250.000,balanced,24.000,5.000,0.000,2.000,0.049,0.000
38,200839,1000.000,balanced,12.000,5.000,0.000,2.000,0.036,0.003
44,200845,1000.000,balanced,24.000,5.000,0.000,2.000,0.052,0.000
39,200840, 250.000,semi-balanced,12.000,5.000,0.000,2.000,0.051,0.005
45,200846, 250.000,semi-balanced,24.000,5.000,0.000,2.000,0.048,0.004
40,200841,1000.000,semi-balanced,12.000,5.000,0.000,2.000,0.052,0.003
46,200847,1000.000,semi-balanced,24.000,5.000,0.000,2.000,0.051,0.002
41,200842, 250.000,unbalanced,12.000,5.000,0.000,2.000,0.043,0.001
47,200848, 250.000,unbalanced,24.000,5.000,0.000,2.000,0.058,0.000
42,200843,1000.000,unbalanced,12.000,5.000,0.000,2.000,0.047,0.000
48,200849,1000.000,unbalanced,24.000,5.000,0.000,2.000,0.052,0.000
