,seed,sample,scale,j,c,ARS,Nfac,ARS_Conf_RMSEA,ARS_Conf_cfi,ARS_Thr_chi,ARS_Thr_RMSEA,ARS_Thr_cfi,ARS_Thr_comb,ARS_Load_chi,ARS_Load_RMSEA,ARS_Load_cfi,ARS_Load_comb,ARS_Int_chi,ARS_Int_RMSEA,ARS_Int_cfi,ARS_Int_comb
13,200814, 250.000,balanced,12.000,5.000,0.300,1.000,0.000,0.000,0.050,0.000,0.000,0.000,0.000,0.150,0.010,0.050,0.000,0.080,0.020,0.030
19,200820, 250.000,balanced,24.000,5.000,0.300,1.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.010,0.000,0.010,0.000,0.010,0.000,0.010
14,200815,1000.000,balanced,12.000,5.000,0.300,1.000,0.000,0.000,0.040,0.000,0.000,0.000,0.000,0.060,0.000,0.050,0.000,0.000,0.000,0.000
20,200821,1000.000,balanced,24.000,5.000,0.300,1.000,0.000,0.000,0.090,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
15,200816, 250.000,semi-balanced,12.000,5.000,0.300,1.000,0.000,0.000,0.040,0.020,0.000,0.000,0.000,0.120,0.010,0.070,0.000,0.070,0.000,0.010
21,200822, 250.000,semi-balanced,24.000,5.000,0.300,1.000,0.000,0.000,0.110,0.000,0.000,0.000,0.000,0.020,0.000,0.010,0.000,0.020,0.000,0.010
16,200817,1000.000,semi-balanced,12.000,5.000,0.300,1.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.030,0.000,0.030,0.000,0.000,0.000,0.000
22,200823,1000.000,semi-balanced,24.000,5.000,0.300,1.000,0.000,0.000,0.080,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
17,200818, 250.000,unbalanced,12.000,5.000,0.300,1.000,0.000,0.000,0.020,0.031,0.000,0.000,0.000,0.074,0.000,0.020,0.000,0.020,0.000,0.000
23,200824, 250.000,unbalanced,24.000,5.000,0.300,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.051,0.000,0.020,0.000,0.000,0.000,0.000
18,200819,1000.000,unbalanced,12.000,5.000,0.300,1.000,0.000,0.000,0.010,0.000,0.000,0.000,0.000,0.015,0.000,0.010,0.000,0.000,0.000,0.000
24,200825,1000.000,unbalanced,24.000,5.000,0.300,1.000,0.000,0.000,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
25,200826, 250.000,balanced,12.000,5.000,0.600,1.000,0.000,0.000,0.110,0.030,0.000,0.000,0.000,0.160,0.010,0.110,0.000,0.070,0.000,0.040
31,200832, 250.000,balanced,24.000,5.000,0.600,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.220,0.010,0.210,0.000,0.000,0.000,0.000
26,200827,1000.000,balanced,12.000,5.000,0.600,1.000,0.000,0.000,0.140,0.020,0.000,0.000,0.000,0.040,0.000,0.040,0.000,0.000,0.000,0.000
32,200833,1000.000,balanced,24.000,5.000,0.600,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.040,0.000,0.040,0.000,0.000,0.000,0.000
27,200828, 250.000,semi-balanced,12.000,5.000,0.600,1.000,0.000,0.000,0.070,0.020,0.000,0.000,0.000,0.140,0.000,0.060,0.000,0.080,0.000,0.030
33,200834, 250.000,semi-balanced,24.000,5.000,0.600,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.270,0.000,0.240,0.000,0.000,0.000,0.000
28,200829,1000.000,semi-balanced,12.000,5.000,0.600,1.000,0.000,0.000,0.040,0.000,0.000,0.000,0.000,0.090,0.000,0.070,0.000,0.000,0.000,0.000
34,200835,1000.000,semi-balanced,24.000,5.000,0.600,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.070,0.000,0.070,0.000,0.000,0.000,0.000
29,200830, 250.000,unbalanced,12.000,5.000,0.600,1.000,0.000,0.000,0.000,0.054,0.000,0.000,0.000,0.148,0.000,0.010,0.000,0.010,0.000,0.000
35,200836, 250.000,unbalanced,24.000,5.000,0.600,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.046,0.000,0.030,0.000,0.010,0.000,0.000
30,200831,1000.000,unbalanced,12.000,5.000,0.600,1.000,0.000,0.000,0.020,0.000,0.000,0.000,0.000,0.025,0.000,0.020,0.000,0.000,0.000,0.000
36,200837,1000.000,unbalanced,24.000,5.000,0.600,1.000,0.000,0.000,0.020,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
