,seed,sample,scale,j,c,ARS,Nfac,NoARS_Conf_RMSEA,NoARS_Conf_cfi,NoARS_Thr_chi,NoARS_Thr_RMSEA,NoARS_Thr_cfi,NoARS_Thr_comb,NoARS_Load_chi,NoARS_Load_RMSEA,NoARS_Load_cfi,NoARS_Load_comb,NoARS_Int_chi,NoARS_Int_RMSEA,NoARS_Int_cfi,NoARS_Int_comb
49,200850, 250.000,balanced,12.000,5.000,0.300,2.000,0.000,0.010,0.030,0.000,0.000,0.000,0.100,0.050,0.050,0.060,0.880,0.710,0.860,0.870
55,200856, 250.000,balanced,24.000,5.000,0.300,2.000,0.000,0.000,0.040,0.000,0.000,0.000,0.020,0.000,0.000,0.000,0.980,0.210,0.580,0.630
50,200851,1000.000,balanced,12.000,5.000,0.300,2.000,0.000,0.000,0.010,0.000,0.000,0.000,0.050,0.000,0.000,0.000,1.000,0.950,1.000,1.000
56,200857,1000.000,balanced,24.000,5.000,0.300,2.000,0.000,0.000,0.030,0.000,0.000,0.000,0.040,0.000,0.000,0.000,1.000,0.230,0.970,0.970
51,200852, 250.000,semi-balanced,12.000,5.000,0.300,2.000,0.000,0.000,0.050,0.000,0.000,0.000,0.060,0.020,0.030,0.030,0.860,0.580,0.800,0.810
57,200858, 250.000,semi-balanced,24.000,5.000,0.300,2.000,0.000,0.000,0.040,0.000,0.000,0.000,0.100,0.000,0.000,0.000,0.970,0.140,0.460,0.520
52,200853,1000.000,semi-balanced,12.000,5.000,0.300,2.000,0.000,0.000,0.070,0.000,0.000,0.000,0.120,0.000,0.000,0.000,1.000,0.910,1.000,1.000
58,200859,1000.000,semi-balanced,24.000,5.000,0.300,2.000,0.000,0.000,0.040,0.000,0.000,0.000,0.090,0.000,0.000,0.000,1.000,0.100,0.730,0.730
53,200854, 250.000,unbalanced,12.000,5.000,0.300,2.000,0.000,0.000,0.060,0.000,0.000,0.000,0.060,0.060,0.030,0.040,0.040,0.030,0.030,0.030
59,200860, 250.000,unbalanced,24.000,5.000,0.300,2.000,0.000,0.000,0.030,0.000,0.000,0.000,0.050,0.000,0.000,0.000,0.010,0.000,0.000,0.000
54,200855,1000.000,unbalanced,12.000,5.000,0.300,2.000,0.000,0.000,0.060,0.000,0.000,0.000,0.080,0.010,0.000,0.010,0.060,0.000,0.000,0.000
60,200861,1000.000,unbalanced,24.000,5.000,0.300,2.000,0.000,0.000,0.050,0.000,0.000,0.000,0.010,0.000,0.000,0.000,0.040,0.000,0.000,0.000
61,200862, 250.000,balanced,12.000,5.000,0.600,2.000,1.000,1.000,0.040,0.000,0.720,0.040,0.060,0.000,0.010,0.010,1.000,0.790,1.000,1.000
67,200868, 250.000,balanced,24.000,5.000,0.600,2.000,1.000,1.000,0.030,0.000,0.000,0.000,0.070,0.000,0.000,0.000,1.000,0.000,1.000,1.000
62,200863,1000.000,balanced,12.000,5.000,0.600,2.000,1.000,1.000,0.070,0.000,0.980,0.070,0.100,0.000,0.000,0.000,1.000,0.940,1.000,1.000
68,200869,1000.000,balanced,24.000,5.000,0.600,2.000,1.000,1.000,0.110,0.000,0.000,0.000,0.070,0.000,0.000,0.000,1.000,0.000,1.000,1.000
63,200864, 250.000,semi-balanced,12.000,5.000,0.600,2.000,1.000,0.990,0.040,0.000,0.580,0.030,0.390,0.000,0.030,0.030,1.000,0.380,1.000,1.000
69,200870, 250.000,semi-balanced,24.000,5.000,0.600,2.000,1.000,1.000,0.030,0.000,0.000,0.000,0.230,0.000,0.000,0.000,1.000,0.000,0.960,0.960
64,200865,1000.000,semi-balanced,12.000,5.000,0.600,2.000,1.000,1.000,0.080,0.000,0.900,0.080,0.830,0.000,0.000,0.000,1.000,0.760,1.000,1.000
70,200871,1000.000,semi-balanced,24.000,5.000,0.600,2.000,1.000,1.000,0.090,0.000,0.000,0.000,0.730,0.000,0.000,0.000,1.000,0.000,1.000,1.000
65,200866, 250.000,unbalanced,12.000,5.000,0.600,2.000,0.000,0.000,0.050,0.000,0.000,0.000,0.050,0.040,0.000,0.030,0.050,0.070,0.000,0.020
71,200872, 250.000,unbalanced,24.000,5.000,0.600,2.000,0.000,0.000,0.050,0.000,0.000,0.000,0.040,0.000,0.000,0.000,0.010,0.000,0.000,0.000
66,200867,1000.000,unbalanced,12.000,5.000,0.600,2.000,0.000,0.000,0.050,0.000,0.000,0.000,0.120,0.030,0.000,0.030,0.030,0.010,0.000,0.010
72,200873,1000.000,unbalanced,24.000,5.000,0.600,2.000,0.000,0.000,0.070,0.000,0.000,0.000,0.110,0.000,0.000,0.000,0.030,0.000,0.000,0.000
